size,md5,filename
1653642546,2e231b79a325245feb8696da07a96d07,AFR_2465400_V0118_02/AFR_2465400_V0118_02.mp4
2158450918,ec97f7a94f993c8f99f4d2146e38a6ae,AFR_2465400_V0118_02/AFR_2465400_V0118_02_7000k.avi
2778669088,a22c680060ff991a73a1e6845f2d7ae5,AFR_2465400_V0118_01/AFR_2465400_V0118_01.mp4
2938189258,e9cb306ef1b2db43b4b9c35a4a66ccfa,AFR_2465400_V0118_01/AFR_2465400_V0118_01_7000k.avi
2295882711,1c690c7e14e1940d6ebd34c23f058e60,AFR_2465687_V0121_10/AFR_2465687_V0121_10.mp4
2199645446,2cacfe91df041cb327ee06bd3b4ea4a5,AFR_2465687_V0121_10/AFR_2465687_V0121_10_7000k.avi
1907918434,bf1263657e768fcc018f45997533d6c4,AFR_2465687_V0121_11/AFR_2465687_V0121_11_7000k.avi
1861602340,a2cba08c2944e04e36d7985ea7707a39,AFR_2465687_V0121_11/AFR_2465687_V0121_11.mp4
21204955976,cb5598124afee9d5375d385e5fbe87ad,AFR_2465400_V0118_02/AFR_2465400_V0118_02_7000k.mov
1679122165,0fe42ebb04829aa99ca849433aa75d4d,AFR_2465687_V0121_04/AFR_2465687_V0121_04.mp4
1615311954,3b4381ad9f5c1fe1306b87cc5b7d1688,AFR_2465687_V0121_04/AFR_2465687_V0121_04_7000k.avi
22985595863,6d6036063a92020d322e4ae46fec2ee6,AFR_2465687_V0121_11/AFR_2465687_V0121_11_7000k.mov
36092018069,abb039f0ef56ecc3a26276a3b5c76abd,AFR_2465400_V0118_01/AFR_2465400_V0118_01_7000k.mov
1864381701,14d93b514d1ad8b23710fd4d8fe1d6d4,AFR_2465687_V0121_05/AFR_2465687_V0121_05.mp4
2522633170,308745ea0a5a42e57545d2279cf0d2a0,AFR_2465687_V0121_05/AFR_2465687_V0121_05_7000k.avi
42062556531,018f75f5944225b20b8e49cfc40fc4ab,AFR_2465687_V0121_10/AFR_2465687_V0121_10_7000k.mov
37141064551,fee3198296f551c0b53daf3a1a383bbd,AFR_2465687_V0121_04/AFR_2465687_V0121_04_7000k.mov
22482652741,b7d2534923791326c7e0dbbe1b5a9665,AFR_2465687_V0121_05/AFR_2465687_V0121_05_7000k.mov
2764767752,1ae73aaf601947037dece0eabcb3c863,AFR_2465687_V0121_06/AFR_2465687_V0121_06.mp4
2633882644,87c2e4e21c01a71bfd278e569cb25c31,AFR_2465687_V0121_06/AFR_2465687_V0121_06_7000k.avi
35900069894,7188f23cc2604b3b1bd87c979e665c7e,AFR_2465687_V0121_06/AFR_2465687_V0121_06_7000k.mov
3158546779,c83d40a8bc2776aee89e57cbab2e0cca,AFR_2465687_V0121_07/AFR_2465687_V0121_07.mp4
3011279786,dd834b250d4c7f5b3e1296b44951ff90,AFR_2465687_V0121_07/AFR_2465687_V0121_07_7000k.avi
118617378880,bbda8ed3a7a72517b22303b204340caa,AFR_2465400_V0118_02/AFR_2465400_V0118_02_AM.mov
133402035972,e259e17a857afd19aee5250a42a6ef5b,AFR_2465687_V0121_11/AFR_2465687_V0121_11_AM.mov
1486296757,035d83b9a9c7b5694b3b727d76488c9c,AFR_2465687_V0121_08/AFR_2465687_V0121_08.mp4
2727232072,d270171a1d720b04acdc640c77e3b7e0,AFR_2465687_V0121_08/AFR_2465687_V0121_08_7000k.avi
18190079697,84ec33c95830525869a6c98cca576b10,AFR_2465687_V0121_08/AFR_2465687_V0121_08_7000k.mov
56126884366,1ecc96bf8c2299782b44949922033d97,AFR_2465687_V0121_07/AFR_2465687_V0121_07_7000k.mov
2471472881,ef446ce6aa10b737aa0adbd60b48126e,AFR_2465687_V0121_09/AFR_2465687_V0121_09.mp4
2350853908,fbeb2679baaa51b1ea10fa2168300dd0,AFR_2465687_V0121_09/AFR_2465687_V0121_09_7000k.avi
134114854147,d4b061aacf9ccae75c8c09bcb43500a7,AFR_2465687_V0121_05/AFR_2465687_V0121_05_AM.mov
207632552036,cb35fc07b6ca93e8c588a5578233d1c8,AFR_2465400_V0118_01/AFR_2465400_V0118_01_AM.mov
36243026729,7dbbae3db32275f41f495f91799a202c,AFR_2465687_V0121_09/AFR_2465687_V0121_09_7000k.mov
2221424507,0363375cadb69878cd800d9b3f9b946b,AFR_2466240_V0123_01/AFR_2466240_V0123_01.mp4
2235463540,ac4ddfd7d447d0f95114f8bc58edeb35,AFR_2466240_V0123_01/AFR_2466240_V0123_01_7000k.avi
28250892276,999f99154740da679511847f280439fb,AFR_2466240_V0123_01/AFR_2466240_V0123_01_7000k.mov
208666049948,540668d5d66aa7febff040a935cd44e6,AFR_2465687_V0121_04/AFR_2465687_V0121_04_AM.mov
238084396351,ac68be6f86c9e9ee03f1777f8114762c,AFR_2465687_V0121_10/AFR_2465687_V0121_10_AM.mov
2884161762,c26f65a33eb7ddcb7eb3181a893cc99b,AFR_2466240_V0123_02/AFR_2466240_V0123_02.mp4
4194051814,5d084de2bd85b382f5fc23d8011b9f07,AFR_2466240_V0123_02/AFR_2466240_V0123_02_7000k.avi
2586604497,f5bfd83603b3b319b5b76caf6f82f171,AFR_2466240_V0123_03/AFR_2466240_V0123_03.mp4
3013949192,be07ee690c0499e803ffa5ad046dcd8a,AFR_2466240_V0123_03/AFR_2466240_V0123_03_7000k.avi
207359144884,05f8ee11ddbf7db5824eb64b1417ba3a,AFR_2465687_V0121_06/AFR_2465687_V0121_06_AM.mov
36762808347,e8bea05e0d728d1ce3310e83c43ffe3f,AFR_2466240_V0123_02/AFR_2466240_V0123_02_7000k.mov
116879356367,7103685bcd7f8921115a81727bcca483,AFR_2465687_V0121_08/AFR_2465687_V0121_08_AM.mov
